source,target,weight
tarokh.irantravel1,12,0.00111482720178
daisytkjp,2,0.00114810562572
martinagamboni,9,0.00723230332193
martinagamboni,0,0.00422343324251
martinagamboni,8,0.00311405216037
garmirenda,0,0.01875
garmirenda,6,0.00137362637363
federicovsanden,14,0.0243055555556
federicovsanden,12,0.018115942029
federicovsanden,3,0.00260416666667
brekkefletch,3,0.015625
danamermaid,0,0.00347222222222
danamermaid,2,0.000890313390313
danamermaid,7,0.000694444444444
alexandrabloom_nyc,0,0.00963855421687
alexandrabloom_nyc,13,0.00267737617135
alexandrabloom_nyc,3,0.00150602409639
funkypelota,3,0.00642857142857
funkypelota,18,0.00357142857143
funkypelota,14,0.00214285714286
shoptheblake,0,0.015
shoptheblake,2,0.014652014652
shoptheblake,8,0.00612244897959
shopartesano,6,0.00164835164835
shopartesano,0,0.000535714285714
shopartesano,4,0.000255102040816
stefaniafuccieijgenberger,12,0.00107353730542
emiliano.ruocco,3,0.0625
danaavidancohn,1,0.0024154589372
ole_lukoil,13,0.0031746031746
ole_lukoil,0,0.00142857142857
ole_lukoil,1,0.00124223602484
espialinteriors,2,0.0200332042059
espialinteriors,0,0.0192086330935
espialinteriors,5,0.00659472422062
sf6033,4,0.00274725274725
kathewilcoxon,0,0.00405405405405
kathewilcoxon,2,0.000693000693001
antoniakarra,2,0.101125327578
antoniakarra,18,0.0120240480962
antoniakarra,0,0.00380761523046
casaveintisiete,1,0.00319693094629
casaveintisiete,12,0.00127877237852
casaveintisiete,14,0.00122549019608
pedy52,15,0.0175438596491
pedy52,0,0.0166666666667
seren_london,6,0.019556714472
seren_london,0,0.00338983050847
seren_london,2,0.0013037809648
mariska_doevelaar,0,0.0125
mariska_doevelaar,3,0.0104166666667
mariska_doevelaar,12,0.0054347826087
babssh,1,0.012585812357
babssh,6,0.00134952766532
babssh,12,0.00114416475973
palomabluelondon,3,0.0021186440678
palomabluelondon,2,0.000869187309865
palomabluelondon,0,0.000847457627119
cok_alvarez,20,0.68341307815
cok_alvarez,19,0.0215311004785
cok_alvarez,10,0.00877192982456
masseriatorremaizza,19,0.0486425339367
masseriatorremaizza,0,0.0190045248869
masseriatorremaizza,12,0.00295101318119
lisalandt,0,0.00789473684211
lisalandt,10,0.00668337510443
lisalandt,4,0.00510204081633
i.r.design,0,0.00833333333333
giulianicharter,3,0.0787671232877
giulianicharter,0,0.00753424657534
giulianicharter,19,0.00513698630137
titti_in_giro,0,0.0550632911392
titti_in_giro,10,0.0506329113924
titti_in_giro,3,0.00791139240506
nujoudoweis,0,0.006
nujoudoweis,2,0.00205128205128
nujoudoweis,1,0.00173913043478
rr_alba,3,0.0128205128205
rr_alba,1,0.0111482720178
rr_alba,20,0.00641025641026
art_bible,8,0.0136054421769
art_bible,0,0.00714285714286
art_bible,2,0.003663003663
memyhealthyworld,6,0.0266875981162
memyhealthyworld,0,0.0132653061224
memyhealthyworld,4,0.00437317784257
berenford.world,0,0.00357142857143
berenford.world,2,0.0030525030525
berenford.world,3,0.0014880952381
rwrightfeats,0,0.0115384615385
rwrightfeats,16,0.001221001221
rwrightfeats,9,0.000272776868522
jaquebarreto_cerimonial,2,0.00618477000387
jaquebarreto_cerimonial,19,0.000628140703518
jaquebarreto_cerimonial,11,0.000502512562814
citrusandcedars,0,0.00555555555556
citrusandcedars,9,0.00118203309693
claudemorady,2,0.432675871137
claudemorady,0,0.00230769230769
anna_g_fashion,3,0.0142045454545
anna_g_fashion,0,0.0136363636364
anna_g_fashion,17,0.00550964187328
katja_charlescannon,6,0.0153846153846
katja_charlescannon,0,0.015
katja_charlescannon,3,0.0125
ablondon_abhi,17,0.00855614973262
ablondon_abhi,0,0.00411764705882
ablondon_abhi,4,0.00252100840336
buy.followers.65,10,0.00724637681159
buy.followers.65,1,0.00378071833648
buy.followers.65,6,0.00334448160535
beatricefontanadesigner,5,0.173242082662
beatricefontanadesigner,6,0.0154837111359
beatricefontanadesigner,4,0.0115596963423
laceandluce,3,0.0334429824561
laceandluce,10,0.00194931773879
laceandluce,2,0.00157444894287
mimimundu,1,0.0367892976589
giedre_life,3,0.0113636363636
giedre_life,0,0.00909090909091
giedre_life,14,0.00378787878788
fbaldaro,0,0.00692307692308
fbaldaro,3,0.00544871794872
fbaldaro,13,0.0022792022792
giulia.palumbo,3,0.0260416666667
giulia.palumbo,0,0.01875
giulia.palumbo,9,0.000886524822695
malicatering,9,0.000394011032309
tribecaconceptstore,6,0.00213675213675
tribecaconceptstore,2,0.0014245014245
jillsharpstudio,0,0.0114084507042
jillsharpstudio,8,0.00804828973843
jillsharpstudio,6,0.00173347778982
nusaindahsurfboards,0,0.00769230769231
nusaindahsurfboards,9,0.00310965630115
nusaindahsurfboards,1,0.00066889632107
just_be_frank_official,3,0.0134615384615
just_be_frank_official,1,0.00066889632107
sagitine,9,0.00180310133429
sagitine,2,0.00173837461973
sagitine,0,0.000847457627119
lorenza_urbano,6,0.0649867374005
lorenza_urbano,0,0.0422413793103
lorenza_urbano,19,0.0193965517241
liviahengel,3,0.0145833333333
liviahengel,14,0.00138888888889
liviahengel,9,0.000354609929078
geminavel,12,0.0113871635611
geminavel,0,0.00595238095238
geminavel,3,0.00595238095238
gianluca_piciuolo,0,0.00833333333333
thepurepackage,0,0.0209401709402
thepurepackage,12,0.00371609067261
thepurepackage,6,0.00262984878369
iremulku,3,0.03125
iremulku,1,0.0108695652174
robertosalomonephotojournalist,3,0.0243506493506
robertosalomonephotojournalist,6,0.012987012987
